,name,county,median_income,county2,CODE,COUNTY
LIBERTY,Liberty,Warren,93833,WARREN,2114.0,Warren County
LINCOLN PARK,Lincoln Park,Morris,81956,MORRIS,1416.0,Morris County
LINDEN,Linden,Union,63250,UNION,2009.0,Union County
LINDENWOLD,Lindenwold,Camden,38906,CAMDEN,422.0,Camden County
LINWOOD,Linwood,Atlantic,82419,ATLANTIC,114.0,Atlantic County
LITTLE EGG HARBOR,Little Egg Harbor,Ocean,60014,OCEAN,1517.0,Ocean County
LITTLE FALLS,Little Falls,Passaic,73256,PASSAIC,1605.0,Passaic County
LITTLE FERRY,Little Ferry,Bergen,67357,BERGEN,230.0,Bergen County
LITTLE SILVER,Little Silver,Monmouth,136818,MONMOUTH,1325.0,Monmouth County
LIVINGSTON,Livingston,Essex,143203,ESSEX,710.0,Essex County
LOCH ARBOUR,Loch Arbour,Monmouth,112500,MONMOUTH,1326.0,Monmouth County
LODI,Lodi,Bergen,50774,BERGEN,231.0,Bergen County
LOGAN,Logan,Gloucester,87200,GLOUCESTER,809.0,Gloucester County
LONG BEACH TOWNSHIP,Long Beach Township,Ocean,80096,OCEAN,,
LONG BRANCH,Long Branch,Monmouth,48327,MONMOUTH,1327.0,Monmouth County
LONG HILL,Long Hill,Morris,111500,MORRIS,1430.0,Morris County
LONGPORT,Longport,Atlantic,86484,ATLANTIC,115.0,Atlantic County
LOPATCONG,Lopatcong,Warren,73734,WARREN,2115.0,Warren County
LOWER ALLOWAYS CREEK,Lower Alloways Creek,Salem,72250,SALEM,,
LOWER TOWNSHIP,Lower Township,Cape May,54455,CAPE MAY,,
LUMBERTON,Lumberton,Burlington,84190,BURLINGTON,317.0,Burlington County
LYNDHURST,Lyndhurst,Bergen,70344,BERGEN,232.0,Bergen County
MADISON,Madison,Morris,110040,MORRIS,1417.0,Morris County
MAHWAH,Mahwah,Bergen,107336,BERGEN,233.0,Bergen County
MANALAPAN,Manalapan,Monmouth,107569,MONMOUTH,1328.0,Monmouth County
MANASQUAN,Manasquan,Monmouth,93200,MONMOUTH,1329.0,Monmouth County
MANCHESTER,Manchester,Ocean,40154,OCEAN,1519.0,Ocean County
MANNINGTON,Mannington,Salem,72917,SALEM,1706.0,Salem County
MANSFIELD,Mansfield,Burlington,92594,BURLINGTON,318.0,Burlington County
MANSFIELD,Mansfield,Burlington,92594,BURLINGTON,2116.0,Warren County
MANSFIELD TOWNSHIP,Mansfield Township,Warren,59850,WARREN,,
MANTOLOKING,Mantoloking,Ocean,126250,OCEAN,1520.0,Ocean County
MANTUA,Mantua,Gloucester,82673,GLOUCESTER,810.0,Gloucester County
MANVILLE,Manville,Somerset,64514,SOMERSET,1811.0,Somerset County
MAPLE SHADE,Maple Shade,Burlington,57977,BURLINGTON,319.0,Burlington County
MAPLEWOOD,Maplewood,Essex,118242,ESSEX,711.0,Essex County
MARGATE,Margate,Atlantic,67138,ATLANTIC,,
MARLBORO,Marlboro,Monmouth,137805,MONMOUTH,1330.0,Monmouth County
MATAWAN,Matawan,Monmouth,81420,MONMOUTH,1331.0,Monmouth County
MAURICE RIVER,Maurice River,Cumberland,63333,CUMBERLAND,609.0,Cumberland County
MAYWOOD,Maywood,Bergen,81339,BERGEN,234.0,Bergen County
MEDFORD,Medford,Burlington,109015,BURLINGTON,320.0,Burlington County
MEDFORD LAKES,Medford Lakes,Burlington,100024,BURLINGTON,321.0,Burlington County
MENDHAM BOROUGH,Mendham Borough,Morris,129853,MORRIS,,
MENDHAM TOWNSHIP,Mendham Township,Morris,170160,MORRIS,,
MERCHANTVILLE,Merchantville,Camden,69833,CAMDEN,424.0,Camden County
METUCHEN,Metuchen,Middlesex,112971,MIDDLESEX,1209.0,Middlesex County
MIDDLE TOWNSHIP,Middle Township,Cape May,62887,CAPE MAY,,
MIDDLESEX BORO,Middlesex Boro,Middlesex,79327,MIDDLESEX,,
MIDDLETOWN,Middletown,Monmouth,102474,MONMOUTH,1332.0,Monmouth County
MIDLAND PARK,Midland Park,Bergen,89130,BERGEN,235.0,Bergen County
MILFORD,Milford,Hunterdon,78681,HUNTERDON,1020.0,Hunterdon County
MILLBURN,Millburn,Essex,184783,ESSEX,712.0,Essex County
MILLSTONE,Millstone,Monmouth,130109,MONMOUTH,1333.0,Monmouth County
MILLSTONE,Millstone,Monmouth,130109,MONMOUTH,1812.0,Somerset County
MILLSTONE,Millstone,Somerset,103000,SOMERSET,1333.0,Monmouth County
MILLSTONE,Millstone,Somerset,103000,SOMERSET,1812.0,Somerset County
MILLTOWN,Milltown,Middlesex,101685,MIDDLESEX,1211.0,Middlesex County
MILLVILLE,Millville,Cumberland,49133,CUMBERLAND,610.0,Cumberland County
MINE HILL,Mine Hill,Morris,95000,MORRIS,1420.0,Morris County
MONMOUTH BEACH,Monmouth Beach,Monmouth,103287,MONMOUTH,1334.0,Monmouth County
MONROE,Monroe,Gloucester,74212,GLOUCESTER,811.0,Gloucester County
MONROE,Monroe,Gloucester,74212,GLOUCESTER,1212.0,Middlesex County
MONROE,Monroe,Middlesex,70357,MIDDLESEX,811.0,Gloucester County
MONROE,Monroe,Middlesex,70357,MIDDLESEX,1212.0,Middlesex County
