mun_code,name,county,median_income
0715,North Caldwell,Essex,200152
Lakehurst,Ocean,66078
Lawrence Township,Cumberland,65917
Wildwood Crest,Cape May,65547
Barnegat,Ocean,65405
Belleville,Essex,65234
Willingboro,Burlington,64969
Palmyra,Burlington,64766
Palisades Park,Bergen,64726
Quinton Township,Salem,64722
Deptford,Gloucester,64705
Greenwich Township,Gloucester,64652
Manville,Somerset,64514
Hackettstown,Warren,64464
Washington Township,Burlington,64375
South Amboy,Middlesex,64293
Tuckerton,Ocean,64273
Glassboro,Gloucester,64246
Eatontown,Monmouth,64149
Haledon,Passaic,64024
Ship Bottom,Ocean,63977
Ridgefield Park,Bergen,63841
South Hackensack,Bergen,63693
Absecon,Atlantic,63656
Clayton,Gloucester,63628
Maurice River,Cumberland,63333
Pennsauken,Camden,63279
Linden,Union,63250
Roselle Park,Union,63021
Neptune Township,Monmouth,62992
South River,Middlesex,62972
Middle Township,Cape May,62887
Hammonton,Atlantic,62798
Highlands,Monmouth,62770
Bass River Township,Burlington,62727
Lake Como,Monmouth,62663
Edgewater Park,Burlington,62475
Bound Brook,Somerset,62263
Belmar,Monmouth,62083
Red Bank,Monmouth,62028
Lavallette,Ocean,61989
Glen Gardner,Hunterdon,61917
Runnemede,Camden,61885
Mount Ephraim,Camden,61715
Barrington,Camden,61711
Bradley Beach,Monmouth,61682
Washington,Warren,61625
Galloway,Atlantic,61530
Farmingdale,Monmouth,61101
Pemberton,Burlington,61039
Cliffside Park,Bergen,60979
Hamilton Township,Atlantic,60838
Dover,Morris,60822
Collingswood,Camden,60777
Rahway,Union,60374
Brooklawn,Camden,60208
Kearny,Hudson,60015
Little Egg Harbor,Ocean,60014
Hillside,Union,59939
Mansfield Township,Warren,59850
Jersey City,Hudson,59537
Lawnside,Camden,59279
Pennsville,Salem,58939
Berlin Township,Camden,58893
Mount Holly,Burlington,58884
Westville,Gloucester,58824
Alpha,Warren,58804
Maple Shade,Burlington,57977
Ocean City,Cape May,57813
Franklin,Sussex,57599
National Park,Gloucester,57356
Montague Township,Sussex,57150
Brigantine,Atlantic,57031
Corbin City,Atlantic,56875
0715,Guttenberg,Hudson,56837
Harrison,Hudson,56713
Weymouth Township,Atlantic,56681
Belvidere,Warren,56221
Neptune City,Monmouth,55728
Wallington,Bergen,55547
Southampton,Burlington,55432
Hackensack,Bergen,55289
North Bergen,Hudson,55222
Moonachie,Bergen,55179
Burlington City,Burlington,55072
Netcong,Morris,54659
Freehold Borough,Monmouth,54595
Keyport,Monmouth,54522
Plainfield,Union,54500
Riverside,Burlington,54492
Lower Township,Cape May,54455
Bayonne,Hudson,54413
North Hanover,Burlington,54280
Winfield,Union,54167
Prospect Park,Passaic,53889
Fairview,Bergen,53846
Upper Deerfield,Cumberland,53547
Chesilhurst,Camden,53516
Carneys Point,Salem,53474
Cape May Point,Cape May,53125
Clementon,Camden,52661
Woodbury,Gloucester,51922
Somerdale,Camden,51633
White Township,Warren,51524
Ventnor City,Atlantic,50978
Shrewsbury,Monmouth,50909
Beverly,Burlington,50880
West Wildwood,Cape May,50795
Bellmawr,Camden,50784
Lodi,Bergen,50774
Cape May,Cape May,50625
Gloucester City,Camden,50615
Somers Point,Atlantic,50450
Buena Vista,Atlantic,50421
Flemington,Hunterdon,50333
Pine Hill,Camden,50184
Fairfield,Cumberland,50154
West Cape May,Cape May,49839
Vineland,Cumberland,49453
East Newark,Hudson,49375
Millville,Cumberland,49133
Newton,Sussex,48409
Long Branch,Monmouth,48327
Keansburg,Monmouth,47686
Hi-Nella,Camden,47589
Wrightstown,Burlington,46625
Commercial Township,Cumberland,46195
Buena,Atlantic,46169
Garfield,Bergen,45469
West New York,Hudson,45370
Downe,Cumberland,45333
Audubon Park,Camden,44722
Phillipsburg,Warren,44537
Perth Amboy,Middlesex,44024
Berkeley Township,Ocean,43942
North Wildwood,Cape May,43941
Elizabeth,Union,43568
Roselle,Union,43397
Egg Harbor City,Atlantic,43235
Pleasantville,Atlantic,41633
Union City,Hudson,41107
Lakewood,Ocean,40983
Paulsboro,Gloucester,40925
Woodlynne,Camden,40913
Manchester,Ocean,40154
Victory Gardens,Morris,39811
Lindenwold,Camden,38906
New Brunswick,Middlesex,38435
Sussex,Sussex,37241
East Orange,Essex,36921
Irvington,Essex,36782
Bridgeton,Cumberland,36208
Woodbine,Cape May,34906
Trenton,Mercer,34257
Seaside Heights,Ocean,33958
City of Orange,Essex,33233
Newark,Essex,33139
Teterboro,Bergen,33068
Paterson,Passaic,32915
Asbury Park,Monmouth,32755
Passaic,Passaic,31832
Penns Grove,Salem,31406
Wildwood,Cape May,27067
Salem,Salem,26320
Atlantic City,Atlantic,25737
Camden,Camden,25042
Walpack,Sussex,16667
